MAROB_ID,IID,MESSZEIT,MESSZEIT_UNIX_TS,GEOGR_BREITE,GEOGR_LAENGE,KENNUNG,FAHRTRICHTUNG,FAHRTGESCHWINDIGKEIT,LUFTTEMPERATUR,TAUPUNKTTEMPERATUR,REL_FEUCHTE,LUFTDRUCK_REDUZIERT,HORIZONTALE_SICHT,WETTER,VERLAUF1,VERLAUF2,cluster id,confidence
8396683,10256,2019-04-12 00:00,1555027200,11.0,110.4,a8aw2,225.0,7.0,29.0,29.0,,1012.0,20000.0,1.0,0.0,0.0,0.0,0.9998030662536621
8396660,256,2019-04-12 00:00,1555027200,11.0,110.4,a8aw2,225.0,7.0,29.0,29.0,,1012.0,20010.0,1.0,0.0,0.0,0.0,0.9998030662536621
8518552,10256,2019-04-13 00:00,1555113600,6.9,107.7,a8aw2,225.0,7.0,29.0,27.7,,1013.0,20000.0,1.0,0.0,0.0,1.0,0.9998030662536621
8518639,256,2019-04-13 00:00,1555113600,6.9,107.7,a8aw2,225.0,7.0,29.0,27.7,,1013.0,20010.0,1.0,0.0,0.0,1.0,0.9998030662536621
8576765,10256,2019-04-13 12:00,1555156800,5.0,106.3,a8aw2,225.0,7.0,29.0,,,1011.0,20000.0,510.0,2.0,2.0,2.0,0.9998030662536621
8576731,256,2019-04-13 12:00,1555156800,5.0,106.3,a8aw2,225.0,7.0,29.0,,,1011.0,20010.0,510.0,2.0,2.0,2.0,0.9998030662536621
8643650,10256,2019-04-14 00:00,1555200000,2.9,105.1,a8aw2,225.0,7.0,29.0,,,1012.0,20000.0,510.0,2.0,2.0,3.0,0.9998030662536621
8643577,256,2019-04-14 00:00,1555200000,2.9,105.1,a8aw2,225.0,7.0,29.0,,,1012.0,20010.0,510.0,2.0,2.0,3.0,0.9998030662536621
9149759,10256,2019-04-18 00:00,1555545600,6.1,91.7,a8aw2,270.0,7.0,29.0,,,1011.0,20000.0,510.0,1.0,1.0,4.0,0.9998030662536621
9149727,256,2019-04-18 00:00,1555545600,6.1,91.7,a8aw2,270.0,7.0,29.0,,,1011.0,20010.0,510.0,1.0,1.0,4.0,0.9998030662536621
9211455,10256,2019-04-18 12:00,1555588800,6.0,89.1,a8aw2,270.0,7.0,31.0,,,1011.0,20000.0,510.0,2.0,2.0,5.0,0.9998030662536621
9211532,256,2019-04-18 12:00,1555588800,6.0,89.1,a8aw2,270.0,7.0,31.0,,,1011.0,20010.0,510.0,2.0,2.0,5.0,0.9998030662536621
9273070,10256,2019-04-19 00:00,1555632000,5.9,86.6,a8aw2,270.0,7.0,29.0,,,1011.0,20000.0,510.0,1.0,1.0,6.0,0.9998030662536621
9273066,256,2019-04-19 00:00,1555632000,5.9,86.6,a8aw2,270.0,7.0,29.0,,,1011.0,20010.0,510.0,1.0,1.0,6.0,0.9998030662536621
9304325,10256,2019-04-19 06:00,1555653600,5.9,85.0,a8aw2,270.0,7.0,33.5,26.2,,1013.0,20000.0,3.0,1.0,1.0,7.0,0.9998030662536621
9304420,256,2019-04-19 06:00,1555653600,5.9,85.0,a8aw2,270.0,7.0,33.5,26.2,,1013.0,20010.0,3.0,1.0,1.0,7.0,0.9998030662536621
9335811,10256,2019-04-19 12:00,1555675200,5.9,83.7,a8aw2,270.0,7.0,32.0,,,1010.0,20000.0,510.0,2.0,2.0,8.0,0.9998030662536621
9335862,256,2019-04-19 12:00,1555675200,5.9,83.7,a8aw2,270.0,7.0,32.0,,,1010.0,20010.0,510.0,2.0,2.0,8.0,0.9998030662536621
9378114,10256,2019-04-19 18:00,1555696800,5.8,82.3,a8aw2,270.0,7.0,29.0,27.0,,1010.0,20000.0,3.0,1.0,1.0,9.0,0.9998030662536621
9378008,256,2019-04-19 18:00,1555696800,5.8,82.3,a8aw2,270.0,7.0,29.0,27.0,,1010.0,20010.0,3.0,1.0,1.0,9.0,0.9998030662536621
9406197,10256,2019-04-20 00:00,1555718400,5.8,81.0,a8aw2,270.0,7.0,28.0,,,1009.0,20000.0,510.0,1.0,1.0,10.0,0.9998030662536621
9406246,256,2019-04-20 00:00,1555718400,5.8,81.0,a8aw2,270.0,7.0,28.0,,,1009.0,20010.0,510.0,1.0,1.0,10.0,0.9998030662536621
9425343,10256,2019-04-20 06:00,1555740000,6.0,79.6,a8aw2,315.0,7.0,32.0,30.7,,1011.0,20000.0,62.0,6.0,1.0,11.0,0.9998030662536621
